Number,Time
742,0.121
743,2.842
744,0.137
745,0.191
746,0.119
747,0.131
748,0.127
749,0.161
750,0.123
751,2.914
752,0.123
753,0.198
754,0.122
755,0.129
756,0.122
757,1.978
758,0.123
759,0.133
760,0.124
761,2.688
762,0.121
763,0.137
764,0.128
765,0.142
766,0.137
767,0.139
768,0.139
769,3.387
770,0.11
771,0.127
772,0.118
773,2.43
774,0.114
775,0.129
776,0.125
777,0.176
778,0.118
779,0.126
780,0.12
781,0.167
782,0.117
783,0.132
784,0.122
785,0.219
786,0.12
787,2.449
788,0.158
789,0.168
790,0.122
791,0.135
792,0.129
793,0.337
794,0.13
795,0.13
796,0.128
797,2.547
798,0.131
799,0.111
800,0.133
801,0.243
802,0.129
803,0.117
804,0.127
805,0.153
806,0.131
807,0.12
808,0.125
809,2.688
810,0.119
811,2.499
812,0.128
813,0.155
814,0.118
815,0.13
816,0.13
817,0.218
818,0.118
819,0.13
820,0.12
821,2.431
822,0.124
823,2.557
824,0.123
825,0.17
826,0.119
827,2.553
828,0.127
829,2.596
830,0.125
831,0.13
832,0.126
833,0.228
834,0.114
835,0.12
836,0.119
837,0.176
838,0.115
839,2.423
840,0.143
841,0.191
842,0.129
843,0.126
844,0.133
845,0.166
846,0.116
847,0.13
848,0.124
849,0.202
850,0.116
851,0.133
852,0.122
853,2.606
854,0.121
855,0.134
856,0.133
857,2.601
858,0.128
859,2.369
860,0.131
861,0.176
862,0.131
863,2.403
864,0.13
865,0.219
866,0.132
867,0.129
868,0.134
869,0.147
870,0.13
871,0.13
872,0.137
873,0.163
874,0.132
875,0.135
876,0.122
877,2.504
878,0.131
879,0.125
880,0.133
881,2.768
882,0.13
883,2.379
884,0.125
885,0.151
886,0.134
887,2.562
888,0.138
889,0.172
890,0.138
891,0.135
892,0.136
893,0.166
894,0.124
895,0.135
896,0.141
897,0.239
898,0.123
899,0.118
900,0.125
901,0.144
902,0.13
903,0.128
904,0.127
905,0.167
906,0.129
907,2.562
908,0.142
909,0.154
910,0.131
911,2.377
912,0.146
913,0.217
914,0.12
915,0.13
916,0.121
917,0.15
918,0.127
919,2.354
920,0.135
921,0.176
922,0.134
923,0.135
924,0.136
925,0.181
926,0.133
927,0.124
928,0.13
929,2.948
930,0.122
931,0.13
932,0.118
933,0.149
934,0.12
935,0.134
936,0.123
937,2.599
938,0.126
939,0.133
940,0.132
941,2.608
942,0.134
943,0.136
944,0.133
945,0.212
946,0.133
947,2.554
948,0.138
949,0.167
950,0.136
951,0.141
952,0.122
953,2.655
954,0.124
955,0.135
956,0.122
957,0.154
958,0.132
959,0.138
960,0.138
961,0.235
962,0.132
963,0.129
964,0.132
965,0.149
966,0.135
967,2.445
968,0.124
969,0.165
970,0.132
971,2.449
972,0.132
973,0.142
974,0.131
975,0.126
976,0.133
977,2.772
978,0.124
979,0.123
980,0.138
981,0.143
982,0.135
983,2.463
984,0.131
985,0.164
986,0.133
987,0.123
988,0.128
989,0.146
990,0.133
991,2.578
992,0.138
993,0.232
994,0.132
995,0.126
996,0.134
997,2.501
998,0.126
999,0.125
1000,0.135
1001,0.165
1002,0.131
1003,0.128
1004,0.134
1005,0.143
1006,0.134
1007,0.13
1008,0.137
1009,2.579
1010,0.123
1011,0.131
1012,0.137
1013,2.589
1014,0.161
1015,0.131
1016,0.139
1017,0.16
1018,0.136
1019,2.616
1020,0.137
1021,2.445
1022,0.138
1023,0.132
1024,0.139
1025,0.301
1026,0.132
1027,0.126
1028,0.122
1029,0.141
1030,0.131
1031,2.519
1032,0.157
1033,2.901
1034,0.134
1035,0.126
1036,0.131
1037,0.16
1038,0.131
1039,2.458
1040,0.15
1041,0.222
